,Celtic scored,Celtic received,Hibernian scored,Hibernian received,Rangers scored,Rangers received,Ross County scored,Ross County received,St Mirren scored,St Mirren received,Dundee United scored,Dundee United received,St Johnstone scored,St Johnstone received,Kilmarnock scored,Kilmarnock received,Aberdeen scored,Aberdeen received,Livingston scored,Livingston received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received
0,5,1,2,1,1,0,1,0,1,0,1,1,1,1,1,2,0,1,0,1,0,1,1,5
1,6,2,6,2,4,0,2,0,1,3,2,1,1,2,2,3,1,1,1,5,0,2,1,6
2,6,2,7,2,7,0,4,2,1,3,2,2,1,5,4,5,1,1,3,7,2,4,1,6
3,6,2,7,2,7,0,5,4,2,3,4,3,3,6,5,7,1,1,3,7,2,4,1,7
4,7,2,8,2,9,0,6,5,3,4,4,4,3,7,5,9,3,2,4,9,2,5,2,7
5,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
6,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
7,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
8,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
9,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
10,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
11,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
12,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
13,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
14,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
15,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
16,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
17,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
18,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
19,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
20,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
21,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
22,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
23,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
24,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
25,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
26,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
27,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
28,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
29,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
30,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
31,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
32,10,2,8,3,11,0,6,6,3,5,4,8,4,7,9,9,4,2,5,9,2,8,2,9
