,Arsenal scored,Arsenal received,Leicester scored,Leicester received,Chelsea scored,Chelsea received,Newcastle scored,Newcastle received,Wolves scored,Wolves received,Liverpool scored,Liverpool received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Aston Villa scored,Aston Villa received,Burnley scored,Burnley received,Man City scored,Man City received,Man United scored,Man United received,Leeds scored,Leeds received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Brighton scored,Brighton received,Sheffield United scored,Sheffield United received,West Ham scored,West Ham received,Fulham scored,Fulham received,West Brom scored,West Brom received
0,3,0,3,0,3,1,2,0,2,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,3,4,0,1,0,1,1,3,0,2,0,2,0,3,0,3
1,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
2,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
3,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
4,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
5,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
6,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
7,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
8,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
9,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
10,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
11,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
12,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
13,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
14,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
15,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
16,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
17,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
18,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
19,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
20,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
21,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
22,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
23,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
24,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
25,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
26,5,1,7,2,3,3,2,3,3,3,6,3,4,1,6,2,1,0,2,4,3,1,1,3,7,7,2,6,5,3,4,3,0,3,1,4,3,7,2,8
